Date,Open,High,Low,Close,Adj Close,Volume
2023-01-02,197.880005,199.470001,197.750000,199.220001,199.220001,86702
2023-01-03,198.699997,199.869995,198.320007,199.559998,199.559998,97801
2023-01-04,199.289993,199.880005,195.050003,197.649994,197.649994,84971
2023-01-05,198.000000,198.479996,196.009995,197.029999,197.029999,88716
2023-01-06,197.309998,197.660004,194.960007,195.699997,195.699997,112081
2023-01-09,196.690002,198.690002,196.380005,198.169998,198.169998,61510
2023-01-10,198.300003,198.300003,195.610001,196.149994,196.149994,73332
2023-01-11,196.500000,196.979996,195.250000,195.979996,195.979996,45594
2023-01-12,196.259995,196.550003,194.550003,195.639999,195.639999,109989
2023-01-13,195.809998,197.190002,194.720001,196.550003,196.550003,91648
2023-01-16,197.500000,197.500000,195.539993,195.990005,195.990005,109787
2023-01-17,196.119995,197.800003,195.850006,197.509995,197.509995,471924
2023-01-18,197.509995,198.970001,197.149994,198.649994,198.649994,233222
2023-01-19,198.449997,198.789993,197.669998,198.339996,198.339996,106650
2023-01-20,198.339996,198.449997,197.259995,197.460007,197.460007,113757
2023-01-23,197.610001,199.029999,197.610001,198.449997,198.449997,67411
2023-01-24,198.919998,199.360001,198.039993,198.179993,198.179993,71051
2023-01-25,197.699997,198.589996,195.619995,196.160004,196.160004,158617
2023-01-27,196.779999,196.779999,191.639999,192.839996,192.839996,394617
2023-01-30,191.850006,194.199997,187.210007,193.259995,193.259995,299992
2023-01-31,193.500000,194.080002,192.139999,193.679993,193.679993,112444
2023-02-01,194.910004,196.619995,190.580002,193.130005,193.130005,502812
2023-02-02,193.279999,193.350006,191.419998,192.919998,192.919998,205483
2023-02-03,193.149994,195.339996,192.619995,195.199997,195.199997,130033
2023-02-06,195.199997,195.410004,193.910004,194.470001,194.470001,147857
2023-02-07,194.470001,195.000000,193.300003,194.169998,194.169998,101493
2023-02-08,194.309998,195.779999,194.259995,195.440002,195.440002,112579
2023-02-09,194.570007,196.070007,194.570007,195.899994,195.899994,68985
2023-02-10,195.509995,195.860001,194.720001,195.449997,195.449997,101100
2023-02-13,195.449997,195.619995,194.000000,194.559998,194.559998,94322
2023-02-14,195.380005,196.229996,194.800003,196.000000,196.000000,74252
2023-02-15,195.529999,197.300003,195.460007,197.089996,197.089996,69144
2023-02-16,197.399994,198.389999,197.050003,197.339996,197.339996,143835
2023-02-17,197.199997,197.199997,195.750000,196.300003,196.300003,96702
2023-02-20,196.270004,197.100006,192.899994,195.580002,195.580002,97900
2023-02-21,196.029999,196.309998,195.039993,195.229996,195.229996,47708
2023-02-22,195.100006,195.100006,192.199997,192.429993,192.429993,271607
2023-02-23,193.130005,193.130005,190.630005,192.080002,192.080002,150477
2023-02-24,192.899994,193.039993,191.070007,191.449997,191.449997,237421
2023-02-27,191.639999,192.449997,189.699997,190.610001,190.610001,191246
2023-02-28,190.500000,191.199997,189.199997,189.710007,189.710007,112247
2023-03-01,190.750000,191.520004,190.199997,191.279999,191.279999,66994
2023-03-02,191.490005,191.490005,189.800003,189.929993,189.929993,99671
2023-03-03,191.000000,192.970001,190.750000,192.570007,192.570007,114489
2023-03-06,193.470001,194.399994,193.270004,193.630005,193.630005,110258
2023-03-08,193.600006,194.169998,192.259995,193.949997,193.949997,66140
2023-03-09,194.639999,194.639999,192.369995,192.639999,192.639999,53577
2023-03-10,191.500000,191.500000,189.960007,190.639999,190.639999,172554
2023-03-13,192.000000,192.000000,187.660004,188.130005,188.130005,254097
2023-03-14,189.000000,189.000000,186.300003,186.940002,186.940002,215117
2023-03-15,188.000000,188.610001,185.720001,186.259995,186.259995,149583
2023-03-16,186.490005,186.929993,184.800003,186.240005,186.240005,213891
2023-03-17,187.309998,187.839996,186.000000,187.440002,187.440002,167687
2023-03-20,187.690002,187.750000,184.550003,185.979996,185.979996,270670
2023-03-21,186.500000,187.699997,186.300003,187.479996,187.479996,111075
2023-03-22,188.339996,188.580002,187.440002,187.910004,187.910004,139782
2023-03-23,187.770004,188.199997,186.240005,186.839996,186.839996,198043
2023-03-24,187.449997,187.500000,185.350006,185.729996,185.729996,111251
2023-03-27,186.300003,187.190002,185.520004,186.009995,186.009995,83673
2023-03-28,186.800003,187.080002,185.300003,185.729996,185.729996,94677
2023-03-29,185.800003,187.490005,185.630005,187.169998,187.169998,114520
2023-03-31,188.000000,190.000000,188.000000,189.860001,189.860001,192213
2023-04-03,190.949997,191.100006,189.559998,190.619995,190.619995,164476
2023-04-05,191.089996,192.429993,190.479996,192.240005,192.240005,171519
2023-04-06,192.720001,193.279999,191.639999,192.889999,192.889999,174680
2023-04-10,193.050003,193.600006,192.500000,192.660004,192.660004,147652
2023-04-11,193.199997,193.889999,193.070007,193.729996,193.729996,42592
2023-04-12,194.029999,194.820007,193.580002,194.649994,194.649994,78179
2023-04-13,195.000000,195.100006,193.809998,194.779999,194.779999,110978
2023-04-17,195.100006,196.369995,192.419998,193.899994,193.899994,153102
2023-04-18,194.160004,194.279999,192.910004,193.289993,193.289993,75086
2023-04-19,193.500000,193.500000,192.649994,192.899994,192.899994,71847
2023-04-20,192.899994,193.589996,192.539993,193.000000,193.000000,38042
2023-04-21,193.470001,193.470001,192.410004,192.839996,192.839996,94355
2023-04-24,193.669998,194.089996,192.800003,193.949997,193.949997,70911
2023-04-25,193.990005,194.550003,193.639999,194.059998,194.059998,42854
2023-04-26,194.000000,194.830002,193.460007,194.630005,194.630005,109022
2023-04-27,194.750000,196.000000,194.509995,195.869995,195.869995,111906
2023-04-28,195.869995,197.750000,195.740005,197.309998,197.309998,131961
2023-05-02,197.309998,198.690002,197.309998,198.350006,198.350006,281209
2023-05-03,198.139999,198.350006,197.250000,197.710007,197.710007,66112
2023-05-04,197.710007,199.649994,197.389999,199.479996,199.479996,75559
2023-05-05,198.240005,199.210007,197.550003,197.779999,197.779999,96958
2023-05-08,197.820007,199.979996,197.820007,199.740005,199.740005,327611
2023-05-09,199.899994,200.500000,199.210007,199.690002,199.690002,116731
2023-05-10,199.970001,200.339996,199.050003,199.899994,199.899994,77976
2023-05-11,200.339996,200.649994,200.000000,200.330002,200.330002,81197
2023-05-12,200.490005,200.500000,199.070007,200.240005,200.240005,176017
2023-05-15,200.160004,201.800003,199.940002,201.309998,201.309998,125003
2023-05-16,202.000000,202.000000,200.300003,200.550003,200.550003,116195
2023-05-17,200.589996,200.589996,198.960007,199.789993,199.789993,124166
2023-05-18,200.009995,200.500000,198.750000,199.080002,199.080002,152391
2023-05-19,199.910004,199.990005,198.169998,199.820007,199.820007,161384
2023-05-22,200.330002,200.850006,199.279999,200.580002,200.580002,150438
2023-05-23,200.889999,201.710007,200.770004,201.110001,201.110001,124720
2023-05-24,200.949997,201.410004,200.000000,200.320007,200.320007,69280
2023-05-25,200.449997,200.990005,199.500000,200.740005,200.740005,79385
2023-05-26,200.899994,203.240005,200.750000,202.800003,202.800003,193690
2023-05-29,204.449997,205.389999,203.610001,204.119995,204.119995,180492
2023-05-30,204.169998,204.710007,203.779999,204.380005,204.380005,108896
2023-05-31,204.350006,204.350006,203.000000,203.669998,203.669998,125360
2023-06-01,204.449997,204.449997,202.600006,203.070007,203.070007,142301
2023-06-02,203.589996,204.089996,203.289993,203.750000,203.750000,58384
2023-06-05,205.130005,205.130005,204.169998,204.339996,204.339996,101177
2023-06-06,204.339996,204.449997,203.500000,204.089996,204.089996,73323
2023-06-07,202.470001,205.539993,202.470001,205.410004,205.410004,123253
2023-06-08,205.240005,205.979996,204.240005,204.500000,204.500000,150423
2023-06-09,205.029999,205.029999,203.759995,203.919998,203.919998,62359
2023-06-12,204.229996,205.000000,203.809998,204.460007,204.460007,74741
2023-06-13,204.600006,205.589996,204.600006,205.520004,205.520004,95133
2023-06-14,205.520004,206.000000,205.199997,205.830002,205.830002,103319
2023-06-15,205.830002,206.300003,205.050003,205.259995,205.259995,159295
2023-06-16,206.199997,207.100006,205.399994,206.649994,206.649994,141609
2023-06-19,206.809998,207.220001,205.520004,205.960007,205.960007,77773
2023-06-20,205.669998,206.809998,204.899994,206.630005,206.630005,81395
2023-06-21,206.529999,207.190002,206.309998,206.949997,206.949997,129057
2023-06-22,206.940002,207.259995,206.100006,206.270004,206.270004,80994
2023-06-23,206.270004,206.270004,204.750000,205.050003,205.050003,129015
2023-06-26,205.449997,205.649994,204.770004,205.169998,205.169998,50349
2023-06-27,205.759995,206.660004,205.259995,206.550003,206.550003,59363
2023-06-28,207.050003,208.679993,206.550003,208.119995,208.119995,235050
2023-06-30,208.899994,210.860001,208.410004,210.660004,210.660004,224857
2023-07-03,211.669998,212.589996,210.770004,212.289993,212.289993,387220
2023-07-04,212.789993,213.250000,211.960007,213.130005,213.130005,238024
2023-07-05,212.820007,213.240005,212.259995,212.979996,212.979996,49723
2023-07-06,212.529999,214.149994,212.529999,213.850006,213.850006,196737
2023-07-07,213.850006,214.270004,212.410004,212.699997,212.699997,185161
2023-07-10,213.660004,214.000000,212.080002,212.259995,212.259995,115179
2023-07-11,212.860001,214.199997,212.860001,213.339996,213.339996,89843
2023-07-12,214.179993,214.339996,213.020004,213.270004,213.270004,83194
2023-07-13,214.240005,214.850006,213.250000,213.429993,213.429993,139469
2023-07-14,214.500000,215.250000,213.720001,214.899994,214.899994,46418
2023-07-17,215.660004,216.789993,214.750000,216.509995,216.509995,79030
2023-07-18,216.850006,217.699997,216.410004,216.970001,216.970001,107447
2023-07-19,216.990005,218.100006,216.690002,217.820007,217.820007,100304
2023-07-20,218.350006,219.740005,217.240005,219.479996,219.479996,64639
2023-07-21,217.449997,219.250000,217.000000,217.610001,217.610001,184295
2023-07-24,217.809998,218.110001,216.589996,216.779999,216.779999,125371
2023-07-25,217.389999,217.479996,216.020004,216.690002,216.690002,50088
2023-07-26,216.940002,218.350006,216.600006,217.850006,217.850006,80104
2023-07-27,218.699997,218.699997,216.009995,216.679993,216.679993,93156
2023-07-28,216.949997,216.949997,215.470001,216.330002,216.330002,76006
2023-07-31,216.240005,217.869995,216.000000,217.520004,217.520004,55150
2023-08-01,218.100006,218.500000,217.000000,217.300003,217.300003,87368
2023-08-02,216.389999,217.350006,214.089996,215.110001,215.110001,646798
2023-08-03,215.160004,215.240005,212.720001,213.589996,213.589996,590549
2023-08-04,214.710007,215.190002,213.979996,214.910004,214.910004,306941
2023-08-07,215.899994,216.229996,215.020004,216.020004,216.020004,100439
2023-08-08,216.250000,216.470001,215.270004,215.720001,215.720001,207947
2023-08-09,216.259995,216.669998,214.770004,216.520004,216.520004,102500
2023-08-10,216.839996,216.839996,215.009995,215.300003,215.300003,567833
2023-08-11,215.309998,215.600006,214.190002,214.440002,214.440002,101177
2023-08-14,214.580002,214.839996,212.600006,214.410004,214.410004,463679
2023-08-16,214.300003,214.750000,213.220001,214.600006,214.600006,71041
2023-08-17,214.949997,214.949997,212.000000,213.649994,213.649994,348126
2023-08-18,213.580002,213.710007,212.550003,212.910004,212.910004,92141
2023-08-21,212.619995,214.070007,211.389999,213.589996,213.589996,88699
2023-08-22,213.000000,214.080002,212.929993,213.309998,213.309998,241712
2023-08-23,213.270004,214.610001,213.020004,214.279999,214.279999,66864
2023-08-24,214.940002,215.839996,213.309998,213.889999,213.889999,123063
2023-08-25,213.100006,213.500000,212.050003,212.729996,212.729996,401034
2023-08-28,200.000000,213.669998,200.000000,212.949997,212.949997,80762
2023-08-29,213.800003,213.800003,212.789993,213.070007,213.070007,196650
2023-08-30,213.630005,214.250000,213.190002,213.479996,213.479996,53218
2023-08-31,213.679993,214.000000,212.500000,212.699997,212.699997,63723
2023-09-01,212.949997,214.470001,212.119995,214.179993,214.179993,54225
2023-09-04,214.809998,215.729996,214.520004,215.559998,215.559998,55062
2023-09-05,215.630005,216.179993,215.500000,215.960007,215.960007,76274
2023-09-06,216.399994,216.399994,215.039993,216.229996,216.229996,398246
