Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,188.000000,190.850006,187.850006,190.660004,190.660004,85674
2022-01-04,191.600006,192.779999,190.100006,192.389999,192.389999,84402
2022-01-05,192.750000,193.639999,191.800003,193.130005,193.130005,98935
2022-01-06,192.460007,192.460007,190.750000,191.830002,191.830002,95975
2022-01-07,192.009995,193.399994,191.369995,192.360001,192.360001,101777
2022-01-10,193.800003,194.619995,192.500000,194.380005,194.380005,72538
2022-01-11,194.210007,194.990005,193.729996,194.649994,194.649994,238811
2022-01-12,195.559998,196.389999,195.500000,196.199997,196.199997,50326
2022-01-13,196.899994,197.289993,195.800003,197.009995,197.009995,397246
2022-01-14,196.800003,197.649994,195.470001,197.279999,197.279999,298770
2022-01-17,197.360001,198.199997,196.500000,198.009995,198.009995,231816
2022-01-18,197.949997,198.389999,195.639999,195.979996,195.979996,80743
2022-01-19,195.350006,196.440002,193.429993,194.139999,194.139999,340753
2022-01-20,193.100006,194.820007,191.050003,192.190002,192.190002,142584
2022-01-21,191.500000,191.600006,189.250000,190.500000,190.500000,503648
2022-01-24,190.639999,190.699997,184.100006,185.800003,185.800003,441910
2022-01-25,184.990005,187.389999,183.000000,187.110001,187.110001,727501
2022-01-27,186.000000,186.000000,179.800003,185.339996,185.339996,956486
2022-01-28,186.750000,187.919998,184.850006,185.100006,185.100006,695591
2022-01-31,186.029999,188.220001,186.029999,187.479996,187.479996,449481
2022-02-01,189.250000,190.139999,186.600006,189.699997,189.699997,165550
2022-02-02,191.000000,192.320007,190.500000,192.250000,192.250000,90230
2022-02-03,192.699997,192.699997,189.470001,189.979996,189.979996,430060
2022-02-04,190.800003,190.800003,189.000000,189.460007,189.460007,114589
2022-02-07,189.440002,189.789993,185.399994,186.289993,186.289993,195056
2022-02-08,186.600006,187.240005,184.440002,186.860001,186.860001,116239
2022-02-09,187.779999,189.100006,187.250000,188.940002,188.940002,320561
2022-02-10,190.000000,190.440002,188.529999,190.309998,190.309998,85469
2022-02-11,189.130005,189.130005,186.919998,187.949997,187.949997,431456
2022-02-14,186.500000,186.899994,182.309998,182.639999,182.639999,568170
2022-02-15,183.899994,187.800003,182.509995,187.550003,187.550003,842547
2022-02-16,188.300003,188.979996,186.500000,187.240005,187.240005,134841
2022-02-17,187.580002,188.449997,186.199997,186.779999,186.779999,295185
2022-02-18,186.500000,187.699997,186.100006,186.610001,186.610001,45026
2022-02-21,186.440002,187.520004,184.710007,186.259995,186.259995,96608
2022-02-22,185.000000,185.759995,182.910004,185.160004,185.160004,204962
2022-02-23,186.020004,186.490005,184.610001,184.990005,184.990005,152173
2022-02-24,182.589996,182.630005,177.050003,178.149994,178.149994,1887580
2022-02-25,181.839996,181.899994,179.300003,180.919998,180.919998,279712
2022-02-28,180.000000,182.100006,177.500000,181.809998,181.809998,896424
2022-03-02,180.000000,181.000000,178.699997,179.869995,179.869995,252653
2022-03-03,180.990005,181.619995,178.399994,178.830002,178.830002,185714
2022-03-04,177.500000,178.970001,175.100006,176.360001,176.360001,393456
2022-03-07,173.589996,175.000000,171.270004,172.369995,172.369995,2212652
2022-03-08,172.000000,176.210007,170.250000,173.380005,173.380005,2120300
2022-03-09,173.800003,177.539993,173.300003,176.990005,176.990005,212383
2022-03-10,180.899994,181.800003,178.000000,179.619995,179.619995,970275
2022-03-11,179.490005,180.500000,178.410004,180.029999,180.029999,153430
2022-03-14,180.330002,182.850006,179.000000,182.500000,182.500000,710945
2022-03-15,183.600006,183.600006,179.500000,180.619995,180.619995,168915
2022-03-16,182.149994,183.800003,182.149994,183.619995,183.619995,742315
2022-03-17,186.000000,187.270004,185.399994,186.759995,186.759995,100214
2022-03-21,186.880005,187.690002,185.050003,185.350006,185.350006,632373
2022-03-22,185.029999,187.550003,184.179993,187.279999,187.279999,148115
2022-03-23,188.000000,188.539993,185.929993,186.320007,186.320007,139672
2022-03-24,185.500000,186.869995,184.720001,186.119995,186.119995,66674
2022-03-25,186.570007,186.889999,185.000000,185.820007,185.820007,676703
2022-03-28,186.589996,186.589996,184.320007,186.380005,186.380005,529545
2022-03-29,187.000000,187.399994,186.250000,187.110001,187.110001,519433
2022-03-30,188.000000,189.100006,187.600006,188.839996,188.839996,199383
2022-03-31,188.809998,189.470001,188.410004,188.860001,188.860001,65085
2022-04-01,188.860001,191.000000,188.009995,190.449997,190.449997,183901
2022-04-04,191.500000,195.289993,191.169998,195.149994,195.149994,297140
2022-04-05,196.190002,196.190002,194.210007,194.479996,194.479996,165500
2022-04-06,194.059998,194.250000,192.660004,193.020004,193.020004,87102
2022-04-07,192.500000,192.910004,191.050003,191.279999,191.279999,461649
2022-04-08,192.039993,193.380005,190.720001,192.710007,192.710007,471179
2022-04-11,192.500000,192.649994,190.979996,191.610001,191.610001,351239
2022-04-12,191.000000,191.000000,189.179993,190.330002,190.330002,284964
2022-04-13,191.589996,191.589996,189.330002,189.490005,189.490005,92181
2022-04-18,188.500000,188.889999,185.160004,186.220001,186.220001,395926
2022-04-19,187.460007,187.550003,182.500000,183.839996,183.839996,202436
2022-04-20,185.000000,186.199997,184.029999,185.720001,185.720001,703832
2022-04-21,186.509995,188.339996,186.449997,188.100006,188.100006,57175
2022-04-22,187.149994,187.220001,185.800003,186.070007,186.070007,81590
2022-04-25,185.089996,185.179993,183.210007,183.880005,183.880005,191874
2022-04-26,185.539993,186.440002,184.889999,186.029999,186.029999,397136
2022-04-27,185.429993,185.500000,183.929993,184.699997,184.699997,105331
2022-04-28,185.149994,187.190002,185.139999,186.429993,186.429993,50302
2022-04-29,187.149994,187.839996,184.800003,185.279999,185.279999,546979
2022-05-02,184.160004,185.229996,183.399994,185.119995,185.119995,129322
2022-05-04,185.350006,186.080002,180.500000,181.039993,181.039993,417852
2022-05-05,183.000000,183.699997,180.610001,181.009995,181.009995,157336
2022-05-06,179.669998,179.699997,177.369995,178.000000,178.000000,1515244
2022-05-09,176.880005,177.960007,175.199997,176.940002,176.940002,911060
2022-05-10,176.800003,177.899994,175.800003,176.160004,176.160004,170128
2022-05-11,176.559998,177.050003,173.570007,175.250000,175.250000,864786
2022-05-12,174.539993,174.649994,171.009995,171.630005,171.630005,522362
