Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,149.070007,149.839996,148.899994,149.539993,149.539993,142982
2021-01-04,150.309998,152.000000,148.869995,150.710007,150.710007,89596
2021-01-05,150.479996,151.470001,149.699997,151.279999,151.279999,143239
2021-01-06,151.220001,151.750000,150.259995,151.300003,151.300003,105620
2021-01-07,152.580002,152.800003,150.979996,151.240005,151.240005,130428
2021-01-08,152.000000,153.710007,151.199997,153.000000,153.000000,241426
2021-01-11,153.399994,154.899994,152.990005,154.339996,154.339996,188820
2021-01-12,154.300003,155.500000,153.960007,155.220001,155.220001,43473
2021-01-13,155.699997,156.089996,154.270004,155.630005,155.630005,47227
2021-01-14,155.399994,155.880005,152.800003,155.660004,155.660004,150411
2021-01-15,155.350006,155.710007,153.429993,154.059998,154.059998,48214
2021-01-18,155.529999,155.529999,152.130005,152.500000,152.500000,94307
2021-01-19,153.600006,155.600006,153.339996,155.490005,155.490005,53282
2021-01-20,155.500000,156.850006,154.300003,156.660004,156.660004,198468
2021-01-21,157.000000,159.000000,155.399994,156.110001,156.110001,97860
2021-01-22,156.009995,156.399994,153.699997,153.990005,153.990005,262379
2021-01-25,154.429993,155.009995,152.199997,152.520004,152.520004,335136
2021-01-27,151.750000,152.119995,149.100006,149.490005,149.490005,406507
2021-01-28,148.339996,148.720001,144.000000,147.979996,147.979996,584363
2021-01-29,150.500000,150.500000,145.600006,146.210007,146.210007,146323
2021-02-01,147.880005,153.000000,145.520004,152.570007,152.570007,722000
2021-02-02,154.990005,157.500000,151.360001,156.059998,156.059998,621334
2021-02-03,156.000000,158.440002,152.100006,157.729996,157.729996,106420
2021-02-04,157.600006,159.250000,153.000000,158.720001,158.720001,424702
2021-02-05,159.729996,159.850006,158.410004,159.000000,159.000000,281682
2021-02-08,160.000000,161.500000,159.500000,161.149994,161.149994,130258
2021-02-09,161.720001,163.300003,160.809998,161.240005,161.240005,432880
2021-02-10,161.600006,161.929993,160.199997,161.500000,161.500000,410872
2021-02-11,161.460007,162.179993,160.869995,161.929993,161.929993,179266
2021-02-12,162.289993,162.740005,161.429993,162.089996,162.089996,158621
2021-02-15,164.660004,164.699997,162.589996,163.929993,163.929993,44700
2021-02-16,164.220001,164.839996,162.800003,163.500000,163.500000,110397
2021-02-17,163.199997,163.529999,162.139999,162.630005,162.630005,38341
2021-02-18,162.619995,163.100006,161.520004,161.929993,161.929993,226668
2021-02-19,161.330002,162.199997,159.559998,160.419998,160.419998,271334
2021-02-22,162.070007,162.070007,156.050003,156.889999,156.889999,123321
2021-02-23,158.750000,159.309998,157.020004,157.449997,157.449997,99829
2021-02-24,158.619995,188.320007,157.449997,160.419998,160.419998,376943
2021-02-25,161.039993,162.289993,161.039993,161.800003,161.800003,180942
2021-02-26,159.990005,159.990005,146.600006,153.820007,153.820007,397187
2021-03-01,157.800003,158.720001,156.889999,158.089996,158.089996,74583
2021-03-02,158.699997,160.270004,158.020004,159.460007,159.460007,318551
2021-03-03,160.550003,163.270004,160.360001,163.050003,163.050003,57009
2021-03-04,161.050003,162.460007,159.410004,161.190002,161.190002,267824
2021-03-05,160.500000,161.190002,159.160004,159.860001,159.860001,57791
2021-03-08,160.410004,161.600006,159.779999,159.970001,159.970001,249398
2021-03-09,160.690002,161.750000,159.820007,161.539993,161.539993,54020
2021-03-10,162.300003,162.830002,161.509995,162.130005,162.130005,217135
2021-03-12,163.669998,163.800003,159.919998,160.710007,160.710007,75507
2021-03-15,160.589996,160.589996,158.039993,159.850006,159.850006,307149
2021-03-16,160.500000,161.110001,159.559998,159.789993,159.789993,110560
2021-03-17,160.460007,160.539993,157.610001,157.960007,157.960007,171868
2021-03-18,158.929993,159.279999,155.339996,156.190002,156.190002,386097
2021-03-19,155.500000,158.199997,153.789993,157.919998,157.919998,503996
2021-03-22,159.130005,159.130005,156.050003,157.360001,157.360001,510134
2021-03-23,158.050003,158.880005,157.119995,158.339996,158.339996,225736
2021-03-24,157.500000,157.830002,155.919998,156.139999,156.139999,79359
2021-03-25,156.000000,156.000000,153.000000,153.990005,153.990005,450803
2021-03-26,154.309998,156.800003,154.309998,155.199997,155.199997,261663
2021-03-30,156.750000,158.679993,155.690002,158.539993,158.539993,88586
2021-03-31,158.000000,158.289993,156.740005,157.270004,157.270004,267641
2021-04-01,157.850006,158.800003,157.059998,158.639999,158.639999,266856
2021-04-05,157.259995,158.639999,155.050003,157.009995,157.009995,209597
2021-04-06,157.500000,158.360001,155.919998,157.369995,157.369995,239018
2021-04-07,156.050003,159.100006,156.050003,158.850006,158.850006,45490
2021-04-08,158.710007,159.949997,157.699997,158.889999,158.889999,335324
2021-04-09,159.910004,159.910004,158.000000,158.820007,158.820007,163228
